aubrey_identifier	display_title	dc_subject.KWD_facet																		
ark:/67531/metapth15058	"John D. Anderson, Veterinarian"	John D. Anderson	Veterinarians																	
ark:/67531/metapth182578	[Man on horse leading steer]	cattle	herding	horses																
ark:/67531/metapth187845	[Dove Housing]	Doves	W.H. Horne																	
ark:/67531/metapth187274	"[American Shorthorn Breeders' Association Registry Certificate, December 13, 1917]"																			
ark:/67531/metapth20225	Mr. Lynch On His Way to Discover Mineral Wells	cartoons	drawings																	
ark:/67531/metapth20226	The First Well Was Dug Here in 1877	cartoons	drawings	wells																
ark:/67531/metapth20230	[The Murphy Family]																			
ark:/67531/metapth20076	Interior of Dr. Crabb's Veterinary Clinic	Dr. Crabb	veterinarians																	
ark:/67531/metapth158445	"78th Texas Legislature, Regular Session, House Bill 240, Chapter 1280"																			
ark:/67531/metapth284945	[Jethro Holmes and His Ox]	festivals																		
ark:/67531/metapth241016	Cutting Horse Competition: Image 1991_D-239_06	NCHA	derbies	horse shows																
ark:/67531/metapth241017	Cutting Horse Competition: Image 1991_D-239_07	NCHA	derbies	horse shows																
ark:/67531/metapth241018	Cutting Horse Competition: Image 1991_D-239_08	NCHA	derbies	horse shows																
ark:/67531/metapth241019	Cutting Horse Competition: Image 1991_D-239_09	NCHA	derbies	horse shows																
ark:/67531/metapth241020	Cutting Horse Competition: Image 1991_D-239_10	NCHA	derbies	horse shows																
ark:/67531/metapth241021	Cutting Horse Competition: Image 1991_D-239_11	NCHA	derbies	horse shows																
ark:/67531/metapth241022	Cutting Horse Competition: Image 1991_D-239_12	NCHA	derbies	horse shows																
ark:/67531/metapth241023	Cutting Horse Competition: Image 1991_D-23_01	NCHA	derbies	horse shows																
ark:/67531/metapth241024	Cutting Horse Competition: Image 1991_D-23_02	NCHA	derbies	horse shows																
ark:/67531/metapth241025	Cutting Horse Competition: Image 1991_D-23_03	NCHA	derbies	horse shows																
ark:/67531/metapth241026	Cutting Horse Competition: Image 1991_D-23_04	NCHA	derbies	horse shows																
ark:/67531/metapth241027	Cutting Horse Competition: Image 1991_D-23_05	NCHA	derbies	horse shows																
ark:/67531/metapth241029	Cutting Horse Competition: Image 1991_D-23_07	NCHA	derbies	horse shows																
ark:/67531/metapth241030	Cutting Horse Competition: Image 1991_D-23_08	NCHA	derbies	horse shows																
ark:/67531/metapth241031	Cutting Horse Competition: Image 1991_D-23_09	NCHA	derbies	horse shows																
ark:/67531/metapth241032	Cutting Horse Competition: Image 1991_D-23_10	NCHA	derbies	horse shows																
ark:/67531/metapth241033	Cutting Horse Competition: Image 1991_D-23_11	NCHA	derbies	horse shows																
ark:/67531/metapth241034	Cutting Horse Competition: Image 1991_D-23_12	NCHA	derbies	horse shows																
ark:/67531/metapth241035	Cutting Horse Competition: Image 1991_D-240_01	NCHA	derbies	horse shows																
ark:/67531/metapth241036	Cutting Horse Competition: Image 1991_D-240_02	NCHA	derbies	horse shows																
ark:/67531/metapth241037	Cutting Horse Competition: Image 1991_D-240_03	NCHA	derbies	horse shows																
ark:/67531/metapth241038	Cutting Horse Competition: Image 1991_D-240_04	NCHA	derbies	horse shows																
ark:/67531/metapth241039	Cutting Horse Competition: Image 1991_D-240_05	NCHA	derbies	horse shows																
ark:/67531/metapth241040	Cutting Horse Competition: Image 1991_D-240_06	NCHA	derbies	horse shows																
ark:/67531/metapth241041	Cutting Horse Competition: Image 1991_D-240_07	NCHA	derbies	horse shows																
ark:/67531/metapth241042	Cutting Horse Competition: Image 1991_D-240_08	NCHA	derbies	horse shows																
ark:/67531/metapth241043	Cutting Horse Competition: Image 1991_D-240_09	NCHA	derbies	horse shows																
ark:/67531/metapth241044	Cutting Horse Competition: Image 1991_D-240_10	NCHA	derbies	horse shows																
ark:/67531/metapth241045	Cutting Horse Competition: Image 1991_D-240_11	NCHA	derbies	horse shows																
ark:/67531/metapth241046	Cutting Horse Competition: Image 1991_D-241_01	NCHA	derbies	horse shows																
ark:/67531/metapth241047	Cutting Horse Competition: Image 1991_D-241_02	NCHA	derbies	horse shows																
ark:/67531/metapth241048	Cutting Horse Competition: Image 1991_D-241_03	NCHA	derbies	horse shows																
ark:/67531/metapth241049	Cutting Horse Competition: Image 1991_D-241_04	NCHA	derbies	horse shows																
ark:/67531/metapth241050	Cutting Horse Competition: Image 1991_D-241_05	NCHA	derbies	horse shows																
ark:/67531/metapth241051	Cutting Horse Competition: Image 1991_D-241_06	NCHA	derbies	horse shows																
ark:/67531/metapth241052	Cutting Horse Competition: Image 1991_D-241_07	NCHA	derbies	horse shows																
ark:/67531/metapth241053	Cutting Horse Competition: Image 1991_D-241_08	NCHA	derbies	horse shows																
ark:/67531/metapth241054	Cutting Horse Competition: Image 1991_D-241_10	NCHA	derbies	horse shows																
ark:/67531/metapth241055	Cutting Horse Competition: Image 1991_D-241_11	NCHA	derbies	horse shows																
ark:/67531/metapth241056	Cutting Horse Competition: Image 1991_D-241_12	NCHA	derbies	horse shows																
ark:/67531/metapth241057	Cutting Horse Competition: Image 1991_D-242_01	NCHA	derbies	horse shows																
ark:/67531/metapth241058	Cutting Horse Competition: Image 1991_D-242_02	NCHA	derbies	horse shows																
ark:/67531/metapth241059	Cutting Horse Competition: Image 1991_D-242_03	NCHA	derbies	horse shows																
ark:/67531/metapth241060	Cutting Horse Competition: Image 1991_D-242_04	NCHA	derbies	horse shows																
ark:/67531/metapth241061	Cutting Horse Competition: Image 1991_D-242_05	NCHA	derbies	horse shows																
ark:/67531/metapth241062	Cutting Horse Competition: Image 1991_D-242_06	NCHA	derbies	horse shows																
ark:/67531/metapth241063	Cutting Horse Competition: Image 1991_D-242_07	NCHA	derbies	horse shows																
ark:/67531/metapth241064	Cutting Horse Competition: Image 1991_D-242_08	NCHA	derbies	horse shows																
ark:/67531/metapth241065	Cutting Horse Competition: Image 1991_D-242_09	NCHA	derbies	horse shows																
ark:/67531/metapth241066	Cutting Horse Competition: Image 1991_D-242_10	NCHA	derbies	horse shows																
ark:/67531/metapth241067	Cutting Horse Competition: Image 1991_D-242_11	NCHA	derbies	horse shows																
ark:/67531/metapth241068	Cutting Horse Competition: Image 1991_D-242_12	NCHA	derbies	horse shows																
ark:/67531/metapth241069	Cutting Horse Competition: Image 1991_D-243_01	NCHA	derbies	horse shows																
ark:/67531/metapth241070	Cutting Horse Competition: Image 1991_D-243_02	NCHA	derbies	horse shows																
ark:/67531/metapth241071	Cutting Horse Competition: Image 1991_D-243_03	NCHA	derbies	horse shows																
ark:/67531/metapth241072	Cutting Horse Competition: Image 1991_D-243_04	NCHA	derbies	horse shows																
ark:/67531/metapth241073	Cutting Horse Competition: Image 1991_D-243_05	NCHA	derbies	horse shows																
ark:/67531/metapth241074	Cutting Horse Competition: Image 1991_D-243_06	NCHA	derbies	horse shows																
ark:/67531/metapth241075	Cutting Horse Competition: Image 1991_D-243_07	NCHA	derbies	horse shows																
ark:/67531/metapth241076	Cutting Horse Competition: Image 1991_D-243_08	NCHA	derbies	horse shows																
ark:/67531/metapth241077	Cutting Horse Competition: Image 1991_D-243_09	NCHA	derbies	horse shows																
ark:/67531/metapth241078	Cutting Horse Competition: Image 1991_D-243_10	NCHA	derbies	horse shows																
ark:/67531/metapth241079	Cutting Horse Competition: Image 1991_D-243_11	NCHA	derbies	horse shows																
ark:/67531/metapth241080	Cutting Horse Competition: Image 1991_D-243_12	NCHA	derbies	horse shows																
ark:/67531/metapth241081	Cutting Horse Competition: Image 1991_D-244_01	NCHA	derbies	horse shows																
ark:/67531/metapth241082	Cutting Horse Competition: Image 1991_D-244_02	NCHA	derbies	horse shows																
ark:/67531/metapth241083	Cutting Horse Competition: Image 1991_D-244_03	NCHA	derbies	horse shows																
