field,county,state,subfeild,year,count
str_location_county,BexarCounty,TX,untl_decade,1890-1899,3790
str_location_county,BexarCounty,TX,untl_decade,1900-1909,5246
str_location_county,BexarCounty,TX,untl_decade,1910-1919,8310
str_location_county,BexarCounty,TX,untl_decade,1920-1929,1670
str_location_county,BexarCounty,TX,untl_decade,1930-1939,673
str_location_county,BexarCounty,TX,untl_decade,1940-1949,663
str_location_county,BexarCounty,TX,untl_decade,1950-1959,672
str_location_county,BexarCounty,TX,untl_decade,1960-1969,756
str_location_county,BexarCounty,TX,untl_decade,1970-1979,922
str_location_county,BexarCounty,TX,untl_decade,1980-1989,724
str_location_county,BexarCounty,TX,untl_decade,1990-1999,818
str_location_county,BexarCounty,TX,untl_decade,2000-2009,389
str_location_county,BexarCounty,TX,untl_decade,2010-2019,96
str_location_county,BlancoCounty,TX,untl_decade,1910-1919,5
str_location_county,BosqueCounty,TX,untl_decade,1860-1869,1
str_location_county,BosqueCounty,TX,untl_decade,1890-1899,2
str_location_county,BosqueCounty,TX,untl_decade,1900-1909,301
str_location_county,BosqueCounty,TX,untl_decade,1910-1919,516
str_location_county,BosqueCounty,TX,untl_decade,1920-1929,725
str_location_county,BosqueCounty,TX,untl_decade,1930-1939,622
str_location_county,BosqueCounty,TX,untl_decade,1940-1949,726
str_location_county,BosqueCounty,TX,untl_decade,1950-1959,521
str_location_county,BosqueCounty,TX,untl_decade,1960-1969,523
str_location_county,BosqueCounty,TX,untl_decade,1970-1979,522
str_location_county,BosqueCounty,TX,untl_decade,1980-1989,523
str_location_county,BosqueCounty,TX,untl_decade,1990-1999,729
str_location_county,BosqueCounty,TX,untl_decade,2000-2009,740
str_location_county,BosqueCounty,TX,untl_decade,2010-2019,185
str_location_county,BowieCounty,TX,untl_decade,1910-1919,10
str_location_county,BrazoriaCounty,TX,untl_decade,1830-1839,83
str_location_county,BrazoriaCounty,TX,untl_decade,1840-1849,58
str_location_county,BrazoriaCounty,TX,untl_decade,1850-1859,49
str_location_county,BrazoriaCounty,TX,untl_decade,1860-1869,5
str_location_county,BrazoriaCounty,TX,untl_decade,1880-1889,3
str_location_county,BrazoriaCounty,TX,untl_decade,1890-1899,220
str_location_county,BrazoriaCounty,TX,untl_decade,1900-1909,450
str_location_county,BrazoriaCounty,TX,untl_decade,1910-1919,508
str_location_county,BrazoriaCounty,TX,untl_decade,1920-1929,513
str_location_county,BrazoriaCounty,TX,untl_decade,1930-1939,519
str_location_county,BrazoriaCounty,TX,untl_decade,1940-1949,522
str_location_county,BrazoriaCounty,TX,untl_decade,1950-1959,521
str_location_county,BrazoriaCounty,TX,untl_decade,1960-1969,769
str_location_county,BrazoriaCounty,TX,untl_decade,1970-1979,143
str_location_county,BrazoriaCounty,TX,untl_decade,2010-2019,633
str_location_county,BrazosCounty,TX,untl_decade,1880-1889,1
str_location_county,BrazosCounty,TX,untl_decade,1890-1899,1157
str_location_county,BrazosCounty,TX,untl_decade,1900-1909,2496
str_location_county,BrazosCounty,TX,untl_decade,1910-1919,2188
str_location_county,BrazosCounty,TX,untl_decade,1920-1929,1
str_location_county,BrazosCounty,TX,untl_decade,1960-1969,1
str_location_county,BrewsterCounty,TX,untl_decade,1900-1909,259
str_location_county,BrewsterCounty,TX,untl_decade,1910-1919,513
str_location_county,BrewsterCounty,TX,untl_decade,1920-1929,53
str_location_county,BriscoeCounty,TX,untl_decade,1940-1949,1
str_location_county,BrooksCounty,TX,untl_decade,1910-1919,9
str_location_county,BrooksCounty,TX,untl_decade,1920-1929,52
str_location_county,BrooksCounty,TX,untl_decade,1930-1939,148
str_location_county,BrooksCounty,TX,untl_decade,1940-1949,261
str_location_county,BrownCounty,TX,untl_decade,1890-1899,87
str_location_county,BrownCounty,TX,untl_decade,1900-1909,704
str_location_county,BrownCounty,TX,untl_decade,1910-1919,2474
str_location_county,BrownCounty,TX,untl_decade,1920-1929,2912
str_location_county,BrownCounty,TX,untl_decade,1930-1939,3326
str_location_county,BrownCounty,TX,untl_decade,1940-1949,1184
str_location_county,BrownCounty,TX,untl_decade,1950-1959,302
str_location_county,BrownCounty,TX,untl_decade,1960-1969,293
str_location_county,BrownCounty,TX,untl_decade,1970-1979,279
str_location_county,BrownCounty,TX,untl_decade,1980-1989,239
str_location_county,BrownCounty,TX,untl_decade,1990-1999,230
str_location_county,BrownCounty,TX,untl_decade,2000-2009,165
str_location_county,BrownCounty,TX,untl_decade,2010-2019,715
str_location_county,BurlesonCounty,TX,untl_decade,1890-1899,115
str_location_county,BurlesonCounty,TX,untl_decade,1900-1909,427
str_location_county,BurlesonCounty,TX,untl_decade,1910-1919,328
str_location_county,BurlesonCounty,TX,untl_decade,1920-1929,198
str_location_county,BurlesonCounty,TX,untl_decade,1930-1939,507
str_location_county,BurlesonCounty,TX,untl_decade,1940-1949,502
str_location_county,BurlesonCounty,TX,untl_decade,1950-1959,313
str_location_county,BurnetCounty,TX,untl_decade,1960-1969,1
str_location_county,CaldwellCounty,TX,untl_decade,1850-1859,4
str_location_county,CaldwellCounty,TX,untl_decade,1870-1879,1
str_location_county,CaldwellCounty,TX,untl_decade,1900-1909,241
str_location_county,CalhounCounty,TX,untl_decade,1840-1849,1
str_location_county,CalhounCounty,TX,untl_decade,1850-1859,31
str_location_county,CalhounCounty,TX,untl_decade,1860-1869,8
str_location_county,CalhounCounty,TX,untl_decade,1870-1879,27
str_location_county,CalhounCounty,TX,untl_decade,1960-1969,2
str_location_county,CalhounCounty,TX,untl_decade,1980-1989,639
str_location_county,CalhounCounty,TX,untl_decade,1990-1999,222
str_location_county,CalhounCounty,TX,untl_decade,2010-2019,552
str_location_county,CalhounCounty,TX,untl_decade,2020-2029,10
str_location_county,CameronCounty,TX,untl_decade,1840-1849,4
str_location_county,CameronCounty,TX,untl_decade,1850-1859,5
str_location_county,CameronCounty,TX,untl_decade,1860-1869,808
str_location_county,CameronCounty,TX,untl_decade,1870-1879,131
str_location_county,CameronCounty,TX,untl_decade,1880-1889,301
str_location_county,CameronCounty,TX,untl_decade,1890-1899,1453
str_location_county,CameronCounty,TX,untl_decade,1900-1909,2605
str_location_county,CameronCounty,TX,untl_decade,1910-1919,29
str_location_county,CameronCounty,TX,untl_decade,1920-1929,1
str_location_county,CameronCounty,TX,untl_decade,1930-1939,58
str_location_county,CameronCounty,TX,untl_decade,1940-1949,52
str_location_county,CameronCounty,TX,untl_decade,1990-1999,1
str_location_county,CampCounty,TX,untl_decade,1980-1989,1
str_location_county,CarsonCounty,TX,untl_decade,1920-1929,136
str_location_county,CarsonCounty,TX,untl_decade,1930-1939,268
str_location_county,CarsonCounty,TX,untl_decade,1940-1949,778
str_location_county,CarsonCounty,TX,untl_decade,1950-1959,562
str_location_county,CarsonCounty,TX,untl_decade,1960-1969,619
str_location_county,CarsonCounty,TX,untl_decade,1970-1979,515
str_location_county,CarsonCounty,TX,untl_decade,1980-1989,256
str_location_county,CarsonCounty,TX,untl_decade,2010-2019,91
str_location_county,CassCounty,TX,untl_decade,1880-1889,6
str_location_county,CassCounty,TX,untl_decade,1890-1899,192
str_location_county,CassCounty,TX,untl_decade,1900-1909,353
str_location_county,CassCounty,TX,untl_decade,1910-1919,212
str_location_county,CassCounty,TX,untl_decade,1920-1929,255
str_location_county,CassCounty,TX,untl_decade,1930-1939,463
str_location_county,CassCounty,TX,untl_decade,1940-1949,571
str_location_county,CassCounty,TX,untl_decade,1950-1959,135
str_location_county,CassCounty,TX,untl_decade,1960-1969,4
str_location_county,CassCounty,TX,untl_decade,1970-1979,8
str_location_county,CassCounty,TX,untl_decade,1980-1989,11
str_location_county,CassCounty,TX,untl_decade,1990-1999,157
str_location_county,CassCounty,TX,untl_decade,2010-2019,29
str_location_county,CastroCounty,TX,untl_decade,1940-1949,1
str_location_county,ChambersCounty,TX,untl_decade,2010-2019,1
str_location_county,CherokeeCounty,TX,untl_decade,1880-1889,100
