Tongue Support for Binders	"Patent for a tongue support for binders. ""A device of this nature for supporting tongues of binders or other machines\, in order to remove the weight and the strain from the necks of the animals"" (lines 15-18). Illustration included."	"binders,tongue supports"	Patents -- Texas.		
Hay-Rack.	"Patent for a hay rack\, which allows animals to feed on the hay while it on the rack from all sides and underneath it."	hay racks	Patents -- Texas.		
Crate or Coop	Patent for a coop for the transportation of livestock which can be folded compactly to occupy smaller space. Illustrations included.	"coops,crates"	Patents -- Texas.		
Stock-Weaner.	"Patent for improvements in stock weaners. The invention is used for weaning cattle and ""may be applied to either the parent or the offspring to prevent abstraction of the lacteal fluid from the udder by either. The purpose of the invention is to devise a device of the character and for the purpose aforesaid which will be simple\, effective\, light\, not interfere with grazing or feeding\, and which can be easily and quickly placed in position without the use of tools and adapted to be readily removed and applied to another animal"" (lines 12-22). Includes specifications and illustrations."	"cattle,cattle farming,dairies,stock weaners,weaners"	Patents -- Texas.		
Breast-Strap	Patent for a breast strap with snap hooks that reduces wear on the strap.	"agricultural tools,agriculture tools,breast straps,farm animal equipment,farm animal tools,farm animals,yokes"	Patents -- Texas.		
Veterinary Tool	"Patent for a veterinary tool designed to drenching\, floating or treating animal teeth. Illustration included."	"oral health,veterinary tools"	Patents -- Texas.		
Animal-Poke.	"Patent for improvements in animal-poke by providing a device which is arranged for convenient application to an animal\, so as not to interfere with the grazing and drinking thereof\, and will effectually prevent the animal from destroying fences and also from pushing and fighting other stock. (Lines 9-15) Illustration is included."	"animal supports,animal yokes,restraining,rigid extensions"	Patents -- Texas.		
Feed-Mixing Machine.	Patent for a feed mixing machine for stock feed made from cotton seed hulls and cotton seed meal.	"feed mixes,feed mixing machines"	Patents -- Texas.		
Poultry and Animal Fumigating Device.	Patent for a poultry and animal fumigating device that spreads the fumigating substance throughout the animals cage.	fumigating devices	Patents -- Texas.		
Medicated Salt Brick.	"Patent for a formula for a livestock salt brick that purports improve animal health. The formula includes salt\, clay\, sulfur\, saltpeter\, copperas\, nux vomica\, and santonin."	livestock	"Patents -- Texas.,Salt licks"		
Drinking Fountain	"Patent for a drinking fountain. ""The object of the invention is to provide a drinking fountain having a drinking trough to which water will be automatically supplied as the same is removed by the stock."" Illustration included."	"drinking fountains,troughs"	Patents -- Texas.		
Apparatus for Administering Medecine to Live Stock.	Patent for for a device to efficiently administer medication to live stock.	"livestock,medicine"	Patents -- Texas.		
Veterinary Mouth-Speculum.	Patent for a mouth speculum for use by veterinarians to hold open the mouths of animals during surgeries on their teeth.	"dental procedures,speculums,veterinarians"	Patents -- Texas.		
Stock Tank	"Patent for an improved water tank for livestock\, connecting an elevated reservoir to a trough at ground level."		Patents -- Texas.		
Animal-Feed Device	"Patent for an animal feed device that is collapsible and that can be suspended from fences\, vehicle wheels\, other structures\, the ground\, or the animal itself. (lines 10-15"	"animal feeders,domesticated animals"	Patents -- Texas.		
Animal-Poke	Patent for an animal poke that is worn on the head of the animal to prevent it from breaking or going underneath wire fences.	"animal pokes,enclosures,wire fences"	Patents -- Texas.		
Harness.	Patent for a harness that is simpler and more economical to make and is efficient in use.	harnesses	Patents -- Texas.		
Stock- Weaner.	"Patent for ""...new and useful Improvements in Stock-Weaners..."" (lines 6-7) including illustrations."	"livestock,weaners,weaning"	Patents -- Texas.		
Harness Saddle	"Patent is for ""improvements in harness saddles"" (lines 6-7) that will ""not injure animals' backs and which will be automatically adjustable to a back of any size or shape."""	"animals,equestrian,saddles"	Patents -- Texas.		
Hogs	"Copy negative of hogs feeding. There are two images\, the one of the left is of a single hog by a wired fence. The second image is of three hogs crowded together eating\, while a man stands in the background wearing slacks with a shirt and a hat. ""It Pays to Raise Only the Best Hogs."" is written on the bottom of the picture."	hogs			
Hogs	"Copy negative of hogs feeding. There are two images\, the one of the left is of a single hog by a wired fence. The second image is of three hogs crowded together eating\, while a man stands in the background wearing slacks with a shirt and a hat. ""It Pays to Raise Only the Best Hogs."" is written on the bottom of the picture."	hogs			
Proper Use of Sulfonamides in Market Show Animals	This document provides the proper use of sulfonamides for market show animals.	"drug information,show information"	"Animals -- Drug use -- Texas.,Animals -- Effect of drugs on.,Antibiotics -- Utilization.,Sulfonamides -- Utilization."		
[Photograph of Buffalo]	Photograph of five buffalo grazing in an open field.	"buffalo,ranch scenes"			
[Photograph of Cotton Bales on Wagons]	"Copy negative of early twentieth century wagons stacked with cotton bales.  In the foreground\, two wagons are hitched to a team of mules and a man is sitting on the bales in the front of the wagon\, driving; behind them\, a man is standing on the bales in a third wagon\, also hitched to a partially-visible animal."	"cotton bales,farm scenes,mules"			
[Photograph of Buffalo Grazing]	Photograph of buffalo grazing in an open field.	"buffalo,ranch scenes"			
[Men with Animals in Front of Airplane]	"Photograph of U. N. John\, William G. Fuller\, three unidentified men\, Bob Cartwell\, Fred Telsmar\, and Doug Kelly holding farm animals on leashes. They stand by a wagon placed in front of a Consolidated B-24 Liberator airplane."	"airports,wagons"		"Cartwell\, Bob,Fuller\, William G.,John\, U. N.,Kelly\, Doug,Telsmar\, Fred"	
[Photograph of Buffalo]	Photograph of four buffalo grazing in an open field.	"buffalo,ranch scenes"			
[Photograph of Buffalo Grazing]	Photograph of three buffalo grazing on the prairie.	"buffalo,ranch scenes"			
[Photograph of Buffalo]	Photograph of two buffalo on the prairie.	"buffalo,ranch scenes"			
[Photograph of a Deer]	Photograph of a deer walking in front of trees somewhere in Texas.	"deers,trees"			
Man Feeding Chickens	"Copy negative of a man and two toddlers feeding a flock of chicken. The man is wearing slacks a shirt and a hat. The two young children are wearing light clothes and one of them is wearing a hat. In the background there are barns\, a chicken wire fence\, a wooden fence and a couple of trees."	"chickens,farms"		"Cummings\, Imogene,Cummings\, J. M.,Cummings\, Maurice"	
[Close-Up of Leaves]	Photograph of leaves on a bush somewhere in Texas. An out of focus deer is visible in the background.	"deers,leaves"			
Family with Horse	"Copy negative of two images\, on the top image two older man are sitting down on wooden chairs on the porch of a house. They are wearing country like clothing\, including boots\, tight pants\, vests\, and hats. In the image below a man\, young girl and a woman are standing side by side behind a fence. The man is wearing slacks with a light longs sleeve shirt and a hat\, the girl is wearing a light dress and the woman is wearing a blouse with a long skirt. In the background there is a horse and also a fence is seen going all around them."			"Burch\, Vol,Fox\, John"	
Women on Lawn	Copy negative of two images. The picture on the left is of two women on a yard wearing dresses. One of them is kneeling down petting a dog. In the background a house is partially visible as well as trees. The image on the right is of a woman wearing a dress with an umbrella. In the background there are bushes and a stone wall.	dogs		"Gregg\, Annie"	
