Term	CollocationCount
Government and Law - Civil Servants - Civilian Conservation Corps	75
Government and Law - Civil Servants - Firefighters	1
Government and Law - Court Reports	1
Government and Law - Elected Officials - Presidents	1
Government and Law - Law Enforcement - Jails and Prisons	1
Government and Law - Legislative Committees	1
Government and Law - Politics - Commentaries	1
Government and Law - State Agencies	4
Government and Law - Texas Laws and Regulations	1
