County Name,Chinese,English,French,German,Korean,Spanish
Potter,0,48,0,0,0,0
Presidio,0,14,0,0,0,2
Rains,0,5,0,0,0,0
Randall,0,8,0,0,0,0
Reagan,0,1,0,0,0,0
Real,0,6,0,0,0,0
Red River,0,16,0,0,0,0
Reeves,0,26,0,0,0,0
Refugio,0,12,0,0,0,0
Roberts,0,19,0,1,0,0
Robertson,0,17,0,1,0,0
Rockwall,0,6,0,0,0,0
Runnels,0,23,0,0,0,0
Rusk,0,21,0,0,0,0
Sabine,0,9,0,0,0,0
San Augustine,0,27,0,0,0,0
San Jacinto,0,8,0,0,0,0
San Patricio,0,16,0,0,0,0
San Saba,0,8,0,0,0,0
Schleicher,0,7,0,0,0,0
Scurry,0,13,0,0,0,0
Shackelford,0,7,0,0,0,0
Shelby,0,14,0,0,0,0
Sherman,0,2,0,0,0,0
Smith,0,54,0,0,0,1
Somervell,0,6,0,0,0,0
Starr,0,5,0,0,0,5
Stephens,0,4,0,0,0,0
Sterling,0,4,0,0,0,0
Stonewall,0,3,0,0,0,0
Sutton,0,2,0,0,0,0
Swisher,0,10,0,0,0,0
Tarrant,0,262,0,2,0,1
Taylor,0,40,0,0,0,0
Terrell,0,2,0,0,0,0
Terry,0,7,0,0,0,0
Throckmorton,0,11,0,0,0,0
Titus,0,15,0,0,0,0
Tom Green,0,24,0,0,0,1
Travis,0,332,0,16,0,16
Trinity,0,14,0,0,0,0
Tyler,0,15,0,1,0,0
Upshur,0,11,0,0,0,0
Upton,0,4,0,0,0,0
Uvalde,0,11,0,0,0,2
Val Verde,0,14,0,0,0,0
Van Zandt,0,17,0,0,0,0
Victoria,0,16,0,2,0,0
Walker,0,24,0,0,0,0
Waller,0,21,0,0,0,0
Ward,0,18,0,0,0,0
Washington,0,47,0,2,0,0
Webb,0,24,0,0,0,11
Wharton,0,11,0,0,0,0
Wheeler,0,8,0,0,0,0
Wichita,0,26,0,0,0,0
Wilbarger,0,11,0,0,0,0
Willacy,0,10,0,0,0,1
Williamson,0,55,0,3,0,0
Wilson,0,14,0,0,0,1
Winkler,0,8,0,0,0,0
Wise,0,18,0,0,0,0
Wood,0,19,0,0,0,0
Yoakum,0,6,0,0,0,0
Young,0,15,0,0,0,0
Zapata,0,1,0,0,0,4
Zavala,0,3,0,0,0,0
